español,esperanto
animal,besto
ave,birdo
flor,floro
niño,infano
maestro,instruino
gato,kato
jardín,gardeno
alumno,lernanto
mueble,meblo
papel,papero
pluma,plumo
silla,sego
señor,sinjoro
mesa,tablo
bello,bela
blanco,blanka
gordo,dika
fuerte,forta
joven,juna
negro,nigra
dormir,dormi
ser/estar,esti
ir,iri
comprender,kompreni
en,en
y,kaj
quién,kiu
qué,kio
sí,jes
no,ne
con,kun
sobre,sur
también,ankau
amigo,amiko
árbol,arbo
fruta,frukto
lengua,lingvo
cama,lito
manzana,pomo
rosa,rozo
bueno,bona
fácil,facila
alegre,gaja
internacional,internacia
nuevo,nova
rojo,ruga
sano,sana
simple,simpla
verde,verda
yacer,kusi
sentarse,sidi
pararse,stari
leer,legi
hablar,paroli
uno,unu
dos,du
tiu,ese
tio,eso
agua,akvo
pez,fiso
hogar,hejmo
café,kafo
corazón,koro
lápiz,krajono
mar,maro
máquina,masino
guerra,milito
sol,suno
azúcar,sukero
barco,sipo
té,teo
rubio,blonda
marrón,bruno
dulce,dolca
eléctrico,elektra
muchos,multaj
caliente,varma
trabajar,labori
lavar,lavi
aprender,lerni
comer,mangi
nadar,nagi
banco,benko
botella,botelo
lago,lago
luna,luno
padre,patro
amar,ami
vino,vino
bailar,danci
decir,diri
dar,doni
hacer,fari
besar,kisi
pasear,promeni
mirar,rigardi
beber,trinki
muy,tre
ahora,nun